,oid_,state,stateabbrv,county,population,buildvalue,agrivalue,area,risk_score,risk_ratng,risk_spctl,eal_score,eal_ratng,eal_spctl,sovi_score,sovi_ratng,sovi_spctl,resl_score,resl_ratng,resl_spctl,avln_evnts,avln_risks,avln_riskr,cfld_evnts,cfld_risks,cfld_riskr,cwav_evnts,cwav_risks,cwav_riskr,drgt_evnts,drgt_risks,drgt_riskr,erqk_evnts,erqk_risks,erqk_riskr,hail_evnts,hail_risks,hail_riskr,hwav_evnts,hwav_risks,hwav_riskr,hrcn_evnts,hrcn_risks,hrcn_riskr,istm_evnts,istm_risks,istm_riskr,lnds_evnts,lnds_risks,lnds_riskr,ltng_evnts,ltng_risks,ltng_riskr,rfld_evnts,rfld_risks,rfld_riskr,swnd_evnts,swnd_risks,swnd_riskr,trnd_evnts,trnd_risks,trnd_riskr,tsun_evnts,tsun_risks,tsun_riskr,vlcn_evnts,vlcn_risks,vlcn_riskr,wfir_evnts,wfir_risks,wfir_riskr,wntw_evnts,wntw_risks,wntw_riskr,nri_ver,fulllocation,longitude,latitude
11,11,alabama,AL,chilton,44999,6.71E+09,16617429,7.08E+02,58.54279351,Relatively Low,49.2537313,54.19374807,Relatively Low,46.2686567,72.22,Relatively High,0.582089552,21.58,Relatively Low,0.373134328,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,770,44.06618,Very Low,NA,68.46961502,Relatively Low,112,41.3299395,Very Low,6.00E+00,79.28731,Relatively Moderate,13,61.6419919,Very Low,27,56.2958028,Relatively Low,0,56.858336,Relatively Low,1824,78.92535393,Relatively Moderate,11,31.307668,Very Low,49,42.1253579,Relatively Low,31,86.31880369,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,39.51638562,Very Low,1.10E+01,16.576519,Very Low,23-Mar,"chilton, alabama",-86.66111,32.94439
12,12,alabama,AL,choctaw,12632,6.25E+09,9476878,9.30E+02,74.3557111,Relatively Low,74.6268657,68.58557722,Relatively Low,67.1641791,71.16,Relatively High,0.567164179,8.02,Very Low,0.074626866,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,315,31.81674,Very Low,NA,62.83805282,Very Low,100,84.6007,Relatively Moderate,9.00E+00,56.53834,Relatively Low,26,85.9578286,Relatively Moderate,41,67.72151899,Relatively Moderate,0,63.379377,Relatively Low,2111,64.60746461,Relatively Low,33,74.896596,Relatively Moderate,76,50.3340757,Relatively Low,26,74.8011454,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,42.28444162,Very Low,7.00E+00,20.394528,Very Low,23-Mar,"choctaw, alabama",-88.24612,32.07166
13,13,alabama,AL,clarke,23038,4.12E+09,3303779,1.27E+03,72.09672288,Relatively Low,70.1492537,65.1810585,Relatively Low,61.1940298,85.52,Very High,0.776119403,22.18,Relatively Low,0.432835821,NA,NA,Not Applicable,NA,17.50503,Very Low,0,0,No Rating,392,36.08018,Very Low,NA,46.70696787,Very Low,69,32.4530703,Very Low,9.07E+00,76.20108,Relatively Moderate,34,86.585913,Relatively Moderate,29,20.71952032,Very Low,0,66.077739,Relatively Low,2261,76.93050193,Relatively Moderate,29,44.766147,Relatively Low,66,37.7982819,Relatively Low,34,66.87877824,Relatively Low,NA,NA,Insufficient Data,NA,NA,Not Applicable,NA,48.87050589,Very Low,6.02E+00,22.653516,Very Low,23-Mar,"clarke, alabama",-87.77633,31.70025
14,14,alabama,AL,clay,14212,2.55E+09,93281315,6.12E+02,22.36716513,Very Low,7.4626866,19.40575673,Very Low,10.4477612,53.09,Relatively Moderate,0.253731343,40.64,Relatively Moderate,0.641791045,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,1148,27.83964,Very Low,NA,47.37511931,Very Low,146,25.2943048,Very Low,6.00E+00,53.2294,Relatively Low,8,59.4885599,Very Low,26,21.58560959,Very Low,0,53.710247,Relatively Low,1786,42.37451737,Relatively Low,17,19.917276,Very Low,58,23.3853007,Relatively Low,21,61.69265033,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,46.13426662,Very Low,1.60E+01,12.026726,Very Low,23-Mar,"clay, alabama",-86.59971,33.7026
15,15,alabama,AL,cleburne,15040,2.15E+09,134714937,5.67E+02,22.55806554,Very Low,8.9552239,20.73661405,Very Low,11.9402985,45.42,Relatively Moderate,0.134328358,6.72,Very Low,0.044776119,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,931,37.16195,Very Low,NA,45.05249761,Very Low,171,14.5402482,Very Low,5.00E+00,50.23863,Relatively Low,7,55.0471063,Very Low,21,27.81479014,Very Low,0,55.734019,Relatively Low,1531,44.53024453,Relatively Low,9,16.290169,Very Low,72,36.8119631,Relatively Low,16,63.21985364,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,47.12058543,Very Low,1.80E+01,10.81769,Very Low,23-Mar,"cleburne, alabama",-85.62968,33.64816
16,16,alabama,AL,coffee,53391,2.23E+10,228866524,6.87E+02,89.08685969,Relatively Moderate,91.0447761,88.08418446,Relatively Moderate,89.5522388,64.89,Relatively High,0.402985075,42.87,Relatively Moderate,0.656716418,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,742,80.20999,Relatively Low,NA,59.24276169,Very Low,53,38.8164174,Very Low,2.00E+00,51.95673,Relatively Low,19,93.7640197,Relatively Moderate,12,14.09060626,Very Low,0,47.831674,Relatively Low,1786,93.46846847,Relatively High,15,76.9965,Relatively Moderate,60,74.4193446,Relatively Moderate,33,89.1823099,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,48.55233853,Very Low,4.00E+00,48.075088,Relatively Low,23-Mar,"coffee, alabama",-86.01216,31.47512
17,17,alabama,AL,colbert,57133,1.20E+10,69041537,6.30E+02,71.90582246,Relatively Low,68.6567164,70.75208914,Relatively Low,71.641791,34.75,Relatively Low,0.074626866,66.01,Relatively High,0.880597015,NA,NA,Not Applicable,NA,NA,Not Applicable,2,69.93318,Relatively Moderate,357,36.97105,Very Low,NA,90.29589564,Relatively Low,148,57.9382755,Relatively Low,1.30E+01,79.95546,Relatively Moderate,6,54.95738,Very Low,62,60.82611592,Relatively Moderate,0,38.901381,Relatively Low,1944,89.8005148,Relatively Moderate,61,53.006682,Relatively Low,145,92.4276169,Relatively High,42,84.21889914,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,16.00381801,Very Low,1.70E+01,33.566656,Relatively Low,23-Mar,"colbert, alabama",-87.89425,34.71176
18,18,alabama,AL,conecuh,11582,2.17E+09,24123427,8.61E+02,47.53420299,Very Low,32.8358209,41.90653049,Very Low,31.3432836,65.75,Relatively High,0.417910448,16.42,Very Low,0.208955224,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,539,62.26535,Relatively Low,NA,34.55297486,Very Low,56,16.6401527,Very Low,8.00E+00,41.20267,Relatively Low,30,79.2283535,Relatively Low,10,3.03131246,Very Low,0,62.92965,Relatively Low,2219,67.11711712,Relatively Low,11,11.963093,Very Low,68,39.0073178,Relatively Low,21,52.33853007,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,44.28889596,Very Low,3.00E+00,8.845052,Very Low,23-Mar,"conecuh, alabama",-86.98243,31.50157
19,19,alabama,AL,coosa,10320,1.95E+09,1958970,6.73E+02,7.5087496,Very Low,1.4925373,7.39709068,Very Low,1.4925373,43.6,Relatively Moderate,0.119402985,21.71,Relatively Low,0.388059701,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,1141,19.69456,Very Low,NA,40.31180401,Very Low,124,17.7855552,Very Low,6.00E+00,46.99332,Relatively Low,10,52.3553163,Very Low,26,31.17921386,Relatively Low,0,51.365243,Relatively Low,1846,32.88288288,Relatively Low,3,8.622335,Very Low,49,16.8310531,Very Low,23,35.76201082,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,26.75787464,Very Low,1.10E+01,5.695196,Very Low,23-Mar,"coosa, alabama",-86.17518,32.93051
20,20,alabama,AL,covington,37519,6.77E+09,145105900,1.05E+03,88.70505886,Relatively Moderate,89.5522388,87.43423089,Relatively Moderate,88.0597015,70.75,Relatively High,0.552238806,33.2,Relatively Low,0.537313433,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,693,78.9055,Relatively Low,NA,45.847916,Very Low,51,23.7989182,Very Low,9.01E+00,71.17404,Relatively Low,33,94.0780619,Relatively Moderate,9,7.62824783,Very Low,1,77.545776,Relatively Moderate,2148,92.24581725,Relatively High,15,53.165765,Relatively Low,69,42.9525931,Relatively Low,39,78.49188673,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,50.97041044,Very Low,3.00E+00,21.985364,Very Low,23-Mar,"covington, alabama",-86.49965,31.30664
21,21,alabama,AL,crenshaw,13179,2.56E+09,189077193,6.17E+02,46.26153357,Very Low,31.3432836,42.71123491,Very Low,34.3283582,60.25,Relatively High,0.343283582,21.2,Relatively Low,0.358208955,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,707,59.14731,Relatively Low,NA,33.82118995,Very Low,62,19.2173083,Very Low,8.00E+00,52.14763,Relatively Low,16,78.3310902,Relatively Low,17,6.02931379,Very Low,0,52.907164,Relatively Low,1793,64.96138996,Relatively Low,14,18.230989,Very Low,58,37.543748,Relatively Low,30,54.56570156,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,11.1676742,Very Low,3.00E+00,10.404073,Very Low,23-Mar,"crenshaw, alabama",-86.33768,31.66719
22,22,alabama,AL,cullman,87660,1.46E+10,539900772,7.63E+02,69.64683423,Relatively Low,61.1940298,67.34757041,Relatively Low,65.6716418,51.56,Relatively Moderate,0.23880597,37.62,Relatively Low,0.567164179,NA,NA,Not Applicable,NA,NA,Not Applicable,2,79.82819,Relatively Moderate,644,54.66115,Relatively Low,NA,85.77791919,Relatively Low,174,47.7251034,Relatively Low,1.00E+01,46.42062,Relatively Low,4,69.4930462,Relatively Low,38,71.61892072,Relatively Moderate,1,71.506585,Relatively Low,1882,79.85842986,Relatively Moderate,43,19.503659,Very Low,168,91.6640153,Relatively High,85,86.82787146,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,20.48997773,Very Low,1.70E+01,32.007636,Relatively Low,23-Mar,"cullman, alabama",-86.84361,34.17482
23,23,alabama,AL,dale,49224,8.85E+09,197336365,5.68E+02,79.66910595,Relatively Low,77.6119403,76.16836893,Relatively Low,76.119403,80.65,Very High,0.701492537,22.47,Relatively Low,0.447761194,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,945,79.92364,Relatively Low,NA,41.74355711,Very Low,51,50.8749602,Relatively Low,2.00E+00,52.02036,Relatively Low,24,88.5598923,Relatively Moderate,13,12.15856096,Very Low,0,61.548346,Relatively Low,1781,90.50836551,Relatively High,13,51.797646,Relatively Low,56,23.7352848,Relatively Low,40,84.31434935,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,35.69837735,Very Low,4.00E+00,38.657334,Relatively Low,23-Mar,"dale, alabama",-85.68458,31.46453
24,24,alabama,AL,dallas,38341,6.96E+09,73395648,1.00E+03,57.84282533,Relatively Low,44.7761194,52.36768802,Relatively Low,43.2835821,91.57,Very High,0.910447761,44.21,Relatively Moderate,0.701492537,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,595,57.07922,Relatively Low,NA,72.54215717,Relatively Low,76,43.1434935,Very Low,6.00E+00,77.21922,Relatively Moderate,15,74.3382683,Relatively Low,22,20.61958694,Very Low,0,45.743656,Relatively Low,1747,75.9009009,Relatively Moderate,14,52.847598,Relatively Low,47,49.2523067,Relatively Low,33,77.47375119,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,24.65797009,Very Low,6.00E+00,10.531339,Very Low,23-Mar,"dallas, alabama",-87.14229,32.23321
25,25,alabama,AL,dekalb,71379,1.23E+10,657517499,7.87E+02,69.42411709,Relatively Low,59.7014925,64.74775611,Relatively Low,59.7014925,73.87,Relatively High,0.641791045,18.2,Very Low,0.268656716,NA,NA,Not Applicable,NA,NA,Not Applicable,2,88.51416,Relatively High,763,69.04232,Relatively Low,NA,85.04613427,Relatively Low,177,63.1244034,Relatively Low,1.00E+00,46.45243,Relatively Low,4,66.0834455,Relatively Low,47,75.54963358,Relatively Moderate,0,64.021844,Relatively Low,1503,75.93307593,Relatively Moderate,40,62.488069,Relatively Low,145,80.0509068,Relatively Moderate,73,86.44607063,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,25.70792237,Very Low,2.20E+01,80.687241,Relatively Moderate,23-Mar,"dekalb, alabama",-85.68458,34.52114
26,26,alabama,AL,elmore,87755,1.25E+10,31657004,6.64E+02,57.27012409,Relatively Low,43.2835821,58.31012071,Relatively Low,50.7462687,45.64,Relatively Moderate,0.149253731,57.07,Relatively Moderate,0.850746269,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,1302,55.77474,Relatively Low,NA,65.60610881,Very Low,96,54.6611518,Relatively Low,6.00E+00,86.44607,Relatively Moderate,14,70.2108569,Relatively Low,29,29.71352432,Very Low,0,29.071635,Relatively Low,1660,89.83268983,Relatively Moderate,39,71.364938,Relatively Low,41,50.302259,Relatively Low,42,73.17849189,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,33.82118995,Very Low,7.00E+00,14.794782,Very Low,23-Mar,"elmore, alabama",-86.31497,32.53874
27,27,alabama,AL,escambia,36706,6.87E+09,35523058,9.63E+02,91.37766465,Relatively Moderate,95.5223881,89.75549366,Relatively Moderate,92.5373134,87.08,Very High,0.791044776,20.59,Relatively Low,0.343283582,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,434,80.46452,Relatively Low,NA,50.4931594,Very Low,55,31.2440344,Very Low,9.17E+00,94.08209,Relatively Moderate,38,95.4688201,Relatively Moderate,7,5.22984677,Very Low,0,57.37231,Relatively Low,2614,93.98326898,Relatively High,27,60.547248,Relatively Low,70,52.9112313,Relatively Low,23,79.12822144,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,77.21921731,Relatively Low,3.04E+00,24.626153,Relatively Low,23-Mar,"escambia, alabama",-87.14229,31.13947
28,28,alabama,AL,etowah,103320,1.90E+10,107170723,5.54E+02,82.24626153,Relatively Low,79.1044776,81.33704735,Relatively Low,79.1044776,64.83,Relatively High,0.388059701,53.66,Relatively Moderate,0.805970149,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,672,40.47089,Very Low,NA,87.55965638,Relatively Low,178,35.3165765,Very Low,5.00E+00,87.14604,Relatively Moderate,6,64.064603,Relatively Low,30,28.2811459,Very Low,1,90.395117,Relatively Moderate,1879,63.83526384,Relatively Low,22,14.476615,Very Low,129,83.6780146,Relatively Moderate,30,96.72287623,Relatively High,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,17.84918867,Very Low,1.50E+01,31.625835,Relatively Low,23-Mar,"etowah, alabama",-86.05296,34.04553
29,29,alabama,AL,fayette,16298,3.06E+09,28228393,6.36E+02,29.3986637,Very Low,13.4328358,25.03868771,Very Low,14.9253731,67.25,Relatively High,0.432835821,24.51,Relatively Low,0.492537313,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,532,40.85269,Very Low,NA,67.96054725,Relatively Low,148,31.8167356,Very Low,6.00E+00,63.34712,Relatively Low,8,57.6940332,Very Low,41,59.260493,Relatively Low,0,58.785737,Relatively Low,1971,54.5045045,Relatively Low,10,14.094814,Very Low,95,42.0299077,Relatively Low,44,62.80623608,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,13.96754693,Very Low,1.20E+01,10.467706,Very Low,23-Mar,"fayette, alabama",-87.83085,33.68455
30,30,alabama,AL,franklin,31999,5.62E+09,159857929,6.53E+02,65.47884187,Relatively Low,56.7164179,61.00278552,Relatively Low,55.2238806,72.98,Relatively High,0.611940299,19.1,Very Low,0.28358209,NA,NA,Not Applicable,NA,NA,Not Applicable,2,65.73338,Relatively Moderate,385,22.97168,Very Low,NA,80.05090678,Relatively Low,153,55.7747375,Relatively Low,1.30E+01,73.78301,Relatively Moderate,5,55.9443697,Very Low,60,49.73351099,Relatively Low,0,60.070671,Relatively Low,1800,71.71814672,Relatively Moderate,25,21.126312,Very Low,143,76.4237989,Relatively Moderate,23,89.88227808,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,20.23544384,Very Low,1.50E+01,27.935094,Relatively Low,23-Mar,"franklin, alabama",-85.80246,32.47847
31,31,alabama,AL,geneva,26621,4.61E+09,157812990,5.85E+02,65.54247534,Relatively Low,58.2089552,61.55988858,Relatively Low,56.7164179,56.91,Relatively Moderate,0.328358209,20.21,Relatively Low,0.328358209,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,770,87.11422,Relatively Moderate,NA,40.37543748,Very Low,46,34.8393255,Very Low,2.00E+00,41.42539,Relatively Low,29,84.6119336,Relatively Low,9,6.49566955,Very Low,0,59.813685,Relatively Low,1959,83.23680824,Relatively Moderate,22,69.042316,Relatively Low,59,40.0254534,Relatively Low,29,43.90709513,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,39.6754693,Very Low,4.00E+00,23.385301,Very Low,23-Mar,"geneva, alabama",-85.86382,31.03296
32,32,alabama,AL,greene,7714,1.34E+09,29755425,6.67E+02,18.04008909,Very Low,4.4776119,12.38006809,Very Low,4.4776119,95.13,Very High,0.970149254,5.98,Very Low,0.014925373,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,553,41.36176,Very Low,NA,61.75628381,Very Low,106,54.4384346,Relatively Low,6.00E+00,50.33408,Relatively Low,12,59.6231494,Very Low,34,10.12658228,Very Low,0,70.189528,Relatively Low,1983,42.85714286,Relatively Low,12,20.426344,Very Low,58,26.9169583,Relatively Low,18,47.1842189,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,11.13585746,Very Low,1.10E+01,19.026408,Very Low,23-Mar,"greene, alabama",-87.93348,32.97181
33,33,alabama,AL,hale,14753,2.43E+09,72800287,6.63E+02,33.1530385,Very Low,20.8955224,24.0173321,Very Low,13.4328358,93.51,Very High,0.940298507,13.4,Very Low,0.134328358,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,553,36.27108,Very Low,NA,65.89245943,Very Low,101,47.0251352,Relatively Low,6.00E+00,63.98346,Relatively Low,11,62.5841184,Very Low,27,11.99200533,Very Low,0,65.306778,Relatively Low,1912,63.61003861,Relatively Low,16,29.04868,Very Low,52,37.3846643,Relatively Low,36,65.22430799,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,20.04454343,Very Low,1.10E+01,10.054088,Very Low,23-Mar,"hale, alabama",-87.61864,32.78591
